word,leixing,fanyi
sat,v, 坐（sit的过去式，过去分词）
with,prep, 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责
my,pron, 我的
friend,n, 朋友；助手；赞助者
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
well,adv, 很好地；充分地；满意地；适当地
known,adj, 已知的；知名的；大家知道的
coffee,n, 咖啡；咖啡豆；咖啡色
shop,n, 商店；店铺
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
neighboring,adj, 邻近的；附近的（等于neighbouring）
town,n, 城镇，市镇；市内商业区
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
venice,n, 威尼斯（意大利港市）
as,adv, 如同，像……一样
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
our,pron, 我们的
coffee,n, 咖啡；咖啡豆；咖啡色
man,n, 人；男人；人类；丈夫；雇工
called,adj, 被呼叫的
the,art, 这；那
waiter,n, 服务员，侍者
and,conj, 和，与；就；而且；但是；然后
placed,v, 放置（place的过去分词形式）
his,pron, 他的
order,n, 命令；顺序；规则；【贸易】订单
two,n, 两个
cups,n, 杯子（cup的复数形式）；拨火罐（器具）
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
coffee,n, 咖啡；咖啡豆；咖啡色
one,num, 一；一个；一岁；一点钟
on,prep, 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
got,v, 得到，明白（get的过去式和过去分词）
interested,adj, 感兴趣的；有权益的；有成见的
and,conj, 和，与；就；而且；但是；然后
observed,adj, 观察的；观测的
that,det, 那，那个；那种
he,pron, 他；（泛指的）人；上帝
served,v, 服务（serve的过去分词）；服役；招待；发球
with,prep, 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责
one,num, 一；一个；一岁；一点钟
cup,n, 杯子；奖杯；酒杯
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
coffee,n, 咖啡；咖啡豆；咖啡色
but,conj, 但是；而是；然而
he,pron, 他；（泛指的）人；上帝
paid,v, 支付；付清（pay 的过去式和过去分词）
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
two,n, 两个
as,adv, 如同，像……一样
soon,adv, 快；不久，一会儿；立刻；宁愿
as,adv, 如同，像……一样
he,pron, 他；（泛指的）人；上帝
left,adj, 左边的；左派的；剩下的
the,art, 这；那
waiter,n, 服务员，侍者
attached,adj, 附加的；依恋的，充满爱心的
piece,n, 块；件；篇；硬币
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
paper,n, 纸；论文；文件；报纸
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
saying,n, 谚语，格言，警句；（尤指政治或宗教名人）格言集；言论，话
cup,n, 杯子；奖杯；酒杯
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
coffee,n, 咖啡；咖啡豆；咖啡色
similar,adj, 相似的
occasions,n, 场合；机会（occasion的复数）；理由
took,v, 拿；取；接受（take的过去式）
place,n, 地方；住所；座位
twice,adv, 两次；两倍
while,conj, 在……期间；在……的过程中；与……同时；（对比两件事物）……而；虽然，尽管；直到……为止
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
were,v, 是，在（are的过去式）
there,adv, 在那里；在那边；在那点上
it,pron, [指无生命的东西、动物、植物]它；这；那
seemed,v, 似乎（seem的过去式）；装作
that,det, 那，那个；那种
this,pron, 这，这个；这样；今，本；……的这个；有个
gesture,n, 姿态；手势
quite,adv, 很；相当；完全
normal,adj, 正常的；正规的；标准的
at,prep, 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲 (某人……)
this,pron, 这，这个；这样；今，本；……的这个；有个
place,n, 地方；住所；座位
however,adv, 无论如何；不管怎样（接副词或形容词）；然而；可是
it,pron, [指无生命的东西、动物、植物]它；这；那
something,pron, 某事；某物；想来重要（或值得注意）的事物；（数目）若干，大致，左右； 有点像；真不错；(想法或建议)）有道理；诸如此类的东西
unique,adj, 独特的，稀罕的；[数] 唯一的，独一无二的
and,conj, 和，与；就；而且；但是；然后
confusing,adj, 混乱的；混淆的；令人困惑的
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
us,pron, 我们
after,prep, 在……之后；在……身后；反复；跟随；追求；以……命名
few,adj, 很少的；几乎没有的
days,adv, 每天；在白天
when,adv, 什么时候；什么情况下；什么场合下；（用于时间的表达方式之后）在那时，其时；当时，当场
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
again,adv, 又，此外；再一次；再说；增加
coffee,n, 咖啡；咖啡豆；咖啡色
there,adv, 在那里；在那边；在那点上
man,n, 人；男人；人类；丈夫；雇工
entered,adj, 进入的
the,art, 这；那
way,n, 方法；道路；方向；行业；习惯
this,pron, 这，这个；这样；今，本；……的这个；有个
man,n, 人；男人；人类；丈夫；雇工
dressed,adj, 穿好衣服的；穿着……衣服的；打扮好的；去内脏及分割加工好的（特指动物，如鱼，禽类等）
did,v, 做（do的过去式）
not,adv, 表示否定，不
match,n, 火柴；比赛，竞赛；对手；相配的人（或物）；（计算机）匹配；配合；搭配；相似的东西；婚姻；配偶
the,art, 这；那
standard,n, 标准；水准；旗；度量衡标准
or,conj, 或，或者；还是；要不然
the,art, 这；那
atmosphere,n, 气氛；大气；空气
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
this,pron, 这，这个；这样；今，本；……的这个；有个
coffee,n, 咖啡；咖啡豆；咖啡色
shop,n, 商店；店铺
poverty,n, 贫困；困难；缺少；低劣
evident,adj, 明显的；明白的
from,prep, 从……起；从……开始；寄自，得自；来自；由……（制成）；（两地的距离）离；从；从……（到）；（使）免遭；由于；根据；与……（不同）；防；不在；从……来看；妨碍
his,pron, 他的
looks,n, 相貌
as,adv, 如同，像……一样
he,pron, 他；（泛指的）人；上帝
seated,adj, 就座的，坐下来的
himself,pron, 他自己；他亲自，他本人
he,pron, 他；（泛指的）人；上帝
looked,v, 看，瞧( look的过去式和过去分词 )；注意；面向；寻找
at,prep, 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲 (某人……)
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
and,conj, 和，与；就；而且；但是；然后
said,adj, 上述的
one,num, 一；一个；一岁；一点钟
cup,n, 杯子；奖杯；酒杯
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
coffee,n, 咖啡；咖啡豆；咖啡色
from,prep, 从……起；从……开始；寄自，得自；来自；由……（制成）；（两地的距离）离；从；从……（到）；（使）免遭；由于；根据；与……（不同）；防；不在；从……来看；妨碍
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
the,art, 这；那
waiter,n, 服务员，侍者
served,v, 服务（serve的过去分词）；服役；招待；发球
coffee,n, 咖啡；咖啡豆；咖啡色
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
this,pron, 这，这个；这样；今，本；……的这个；有个
man,n, 人；男人；人类；丈夫；雇工
with,prep, 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责
respect,n, 尊敬，尊重；方面；敬意
and,conj, 和，与；就；而且；但是；然后
dignity,n, 尊严；高贵
the,art, 这；那
man,n, 人；男人；人类；丈夫；雇工
had,v, 有；吃；得到（动词have的过去式和过去分词）
his,pron, 他的
coffee,n, 咖啡；咖啡豆；咖啡色
and,conj, 和，与；就；而且；但是；然后
left,adj, 左边的；左派的；剩下的
without,prep, 没有；不和……在一起；不带；在……外部
paying,v, 支付；（某种做法）有好处（pay 的现在分词）
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
were,v, 是，在（are的过去式）
amazed,v, （使）大为惊奇，惊愕；（使）糊涂（amaze 的过去式及过去分词）
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
watch,vt, 观察；注视；看守；警戒
all,det, 所有；全部；（与单数名词连用，表示某事在某段时间内持续发生）全部的；极度；唯一；任何
this,pron, 这，这个；这样；今，本；……的这个；有个
when,adv, 什么时候；什么情况下；什么场合下；（用于时间的表达方式之后）在那时，其时；当时，当场
the,art, 这；那
waiter,n, 服务员，侍者
took,v, 拿；取；接受（take的过去式）
off,adv, 离开；脱掉；出发，起跑；结束，取消；（电）未连接；没有；下班；减价；在剧院舞台的后面
piece,n, 块；件；篇；硬币
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
paper,n, 纸；论文；文件；报纸
from,prep, 从……起；从……开始；寄自，得自；来自；由……（制成）；（两地的距离）离；从；从……（到）；（使）免遭；由于；根据；与……（不同）；防；不在；从……来看；妨碍
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
and,conj, 和，与；就；而且；但是；然后
threw,v, 抛（throw的过去式）；丢弃
it,pron, [指无生命的东西、动物、植物]它；这；那
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
the,art, 这；那
dustbin,n, 垃圾箱
now,adv, 现在；如今；立刻
it,pron, [指无生命的东西、动物、植物]它；这；那
no,adv, 不，完全不
surprise,n, 惊奇，诧异；突然袭击
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
us,pron, 我们
the,art, 这；那
matter,n, 物质；事件
very,adv, 非常，很；完全；（非正式）典型地；最
clear,adj, 清楚的；清澈的；晴朗的；无罪的
the,art, 这；那
great,adj, 伟大的，重大的；极好的，好的；主要的
respect,n, 尊敬，尊重；方面；敬意
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
the,art, 这；那
needy,adj, 贫困的；贫穷的；生活艰苦的
shown,v, 解释（show的过去分词）；给予；表露
by,prep, 由，被；通过；相差……；到……之前；在……旁边
people,n, 人；人类；民族；公民
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
this,pron, 这，这个；这样；今，本；……的这个；有个
town,n, 城镇，市镇；市内商业区
moved,v, 移动，移动到；感动（move的过去式，过去分词）
us,pron, 我们
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
tears,n, 眼泪；泪水（tear复数形式）
coffee,n, 咖啡；咖啡豆；咖啡色
is,v, 是（be的三单形式）
not,adv, 表示否定，不
necessity,n, 需要；必然性；必需品
however,adv, 无论如何；不管怎样（接副词或形容词）；然而；可是
the,art, 这；那
point,n, 要点；得分；标点；[机] 尖端
is,v, 是（be的三单形式）
that,det, 那，那个；那种
when,adv, 什么时候；什么情况下；什么场合下；（用于时间的表达方式之后）在那时，其时；当时，当场
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
take,vt, 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
pleasure,n, 快乐；希望；娱乐；令人高兴的事
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
any,det, 任何的；任一；一点，些许；尽可能多的
blessing,n, 祝福；赐福；祷告
maybe,adv, 也许；可能；大概
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
also,adv, 也；而且；同样
need,v, 必须，需要；（表示应该或不得不做）有必要
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
think,vt, 想；认为；想起；想像；打算
about,adv, 大约；将近；到处；（特定位置）四下；闲着；周围；掉头
those,det, 那些（that 的复数）
people,n, 人；人类；民族；公民
who,pron, 谁；什么人
also,adv, 也；而且；同样
appreciate,vt, 欣赏；感激；领会；鉴别
that,det, 那，那个；那种
specific,adj, 特殊的，特定的；明确的；详细的；[药] 具有特效的
blessing,n, 祝福；赐福；祷告
but,conj, 但是；而是；然而
cannot,v, 不能；无法
afford,vt, 买得起；给予，提供
note,n, 笔记；音符；票据；注解；纸币；便笺；照会；调子
the,art, 这；那
waiter,n, 服务员，侍者
who,pron, 谁；什么人
gets,v, 得到（get的第三人称单数）；抓住；说服；受到（惩罚等）
the,art, 这；那
communication,n, 通讯，[通信] 通信；交流；信函
going,n, 离开，离去；（尤指赛马场的）地面状况；进展速度；难度；（受路况影响的）行进
between,prep, （空间、时间、数量等）在……之间；往返于；（表关系）两……之间；合用；一起
the,art, 这；那
affording,vt, 给予，提供；买得起
and,conj, 和，与；就；而且；但是；然后
the,art, 这；那
needy,adj, 贫困的；贫穷的；生活艰苦的
with,prep, 和……在一起；具有；用；反对；关于；包括；由于；随着；顺着；受雇于；虽然；支持；穿着；受……影响；表示与某物分离；由……负责
smile,v, 微笑；微笑着表示；露出（某种笑容）
on,prep, 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于
his,pron, 他的
face,n, 脸；表面；面子；面容；外观；威信
think,vt, 想；认为；想起；想像；打算
about,adv, 大约；将近；到处；（特定位置）四下；闲着；周围；掉头
the,art, 这；那
man,n, 人；男人；人类；丈夫；雇工
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
need,v, 必须，需要；（表示应该或不得不做）有必要
he,pron, 他；（泛指的）人；上帝
the,art, 这；那
coffee,n, 咖啡；咖啡豆；咖啡色
shop,n, 商店；店铺
without,prep, 没有；不和……在一起；不带；在……外部
having,v, 有，拥有（have 的现在分词）
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
lower,adj, 下方的；在底部的；（数字或数量）较小的；下游的；下级的；下等的
his,pron, 他的
self,n, 自己，自我；本质；私心
dignity,n, 尊严；高贵
he,pron, 他；（泛指的）人；上帝
has,v, 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到
free,adj, 免费的；自由的，不受约束的；[化学] 游离的
cup,n, 杯子；奖杯；酒杯
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
coffee,n, 咖啡；咖啡豆；咖啡色
without,prep, 没有；不和……在一起；不带；在……外部
asking,v, 询问；请求；要求；要价；指望（从某人那里）得到；邀请（ask 的现在分词）
or,conj, 或，或者；还是；要不然
knowing,adj, 会意的；（尤指过分或过早地）世故的；明知的，故意的；认知的
about,adv, 大约；将近；到处；（特定位置）四下；闲着；周围；掉头
who,pron, 谁；什么人
has,v, 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到
given,adj, 赠予的；沉溺的；规定的
this,pron, 这，这个；这样；今，本；……的这个；有个
cup,n, 杯子；奖杯；酒杯
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
coffee,n, 咖啡；咖啡豆；咖啡色
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
him,pron, 他（宾格）
he,pron, 他；（泛指的）人；上帝
only,adv, 只，仅仅；不料
looked,v, 看，瞧( look的过去式和过去分词 )；注意；面向；寻找
at,prep, 在（表示存在或出现的地点、场所、位置、空间）；在……岁时；在……远；以（某种价格、速度等）；向，朝；处于……状态；处于最佳（或最差等）状态；达；因为；在……方面；响应；忙于；（武器）瞄准；用，以；（抓）住；从事于；冲 (某人……)
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
placed,v, 放置（place的过去分词形式）
an,art, 一（在元音音素前）
order,n, 命令；顺序；规则；【贸易】订单
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
himself,pron, 他自己；他亲自，他本人
his,pron, 他的
coffee,n, 咖啡；咖啡豆；咖啡色
and,conj, 和，与；就；而且；但是；然后
left,adj, 左边的；左派的；剩下的
besides,prep, 除……之外（还）
we,pron, 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
need,v, 必须，需要；（表示应该或不得不做）有必要
to,prep, 朝；位于……；到某处；到某状态；差；给；对于；比；连着；对着；等于；向……表示敬意；伴随；为了给……；适合；按……的看法；（结算账目时）记入
remember,vt, 记得；牢记；纪念；代…问好
the,art, 这；那
role,n, 角色；任务
played,v, 演奏；播放；玩耍；参加竞赛（play的过去分词）
by,prep, 由，被；通过；相差……；到……之前；在……旁边
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
that,det, 那，那个；那种
the,art, 这；那
generosity,n, 慷慨，大方；宽宏大量
and,conj, 和，与；就；而且；但是；然后
care,n, 关怀；照料；谨慎；忧虑
of,prep, 属于；……的；……的一部分；住在（某地）；关于；由……组成的；因为；（表示人或事的时空位置）在，当
people,n, 人；人类；民族；公民
in,prep, 在……内；进……里；在……期间；在……以后；穿着；在……状态中；在……方面；包含在……中；从事……；用……语言，以……媒介；以……调；在（活动）过程中；在……岁数；当……时；（引出具某种品质的人的名字）；占……；在……之中（用于较大和较小数字之间）；以……的数量；带……颜色的；以……方式；具有……特性；按照（表示方式）
this,pron, 这，这个；这样；今，本；……的这个；有个
town,n, 城镇，市镇；市内商业区
what,pron, 什么；多么；多少
made,adj, ……制造的，生产的；制作……的
the,art, 这；那
author,n, 作者；作家；创始人
interested,adj, 感兴趣的；有权益的；有成见的
as,adv, 如同，像……一样
well,adv, 很好地；充分地；满意地；适当地
as,adv, 如同，像……一样
confused,adj, 困惑的；混乱的；糊涂的
the,art, 这；那
waiter,n, 服务员，侍者
making,n, 发展；制造；形成
normal,adj, 正常的；正规的；标准的
gestures,n, 手势，姿态（gesture的复数形式）
customers,n, 客户；[贸易] 顾客（customer的复数）
buying,n, 买进
coffee,n, 咖啡；咖啡豆；咖啡色
for,prep, （表示对象、用途等）给，对；为了； 关于；代表；受雇于；意思是；支持；因为；为得到；换取；就……而言；……后（更好、更快乐等）；（表示去向）往；（安排或预定）在……时；对（某人）来说（困难、必需、愉快等）；以……为价格；（表示一段时间）计；表示一系列事件之一
the,art, 这；那
needy,adj, 贫困的；贫穷的；生活艰苦的
the,art, 这；那
waiter,n, 服务员，侍者
attaching,adj, 附属的
coffee,n, 咖啡；咖啡豆；咖啡色
orders,abbr, 圣职 (holy orders)
on,prep, 在……之上；向，朝；关于；在……时候；由……支撑；（身上）带着；一……就；吃，喝；接近；根据；挣……钱；以……支付；以……为燃料；在……中；作为……成员；借助（仪器或器械）；与……相比；增加；靠……服用药物；（由电台或电视）播放；忙碌于
the,art, 这；那
wall,n, 墙壁，围墙；似墙之物
